1.5
1, 0.975472, 0.000415139, -0.024834, 0.000425577
2, 0.973275, 0.0004755, 0.666059, 0.000488557
3, 0.973019, 0.000487194, 1.07126, 0.000500703
4, 0.973045, 0.000488229, 1.35897, 0.000501754
5, 0.973063, 0.000488065, 1.58213, 0.000501576
6, 0.973011, 0.000488959, 1.7644, 0.000502522
7, 0.972998, 0.000488598, 1.91854, 0.000502157
8, 0.973053, 0.000488596, 2.05212, 0.000502127
9, 0.972998, 0.000488598, 2.16985, 0.000502157
10, 0.973011, 0.000488959, 2.27523, 0.000502522
11, 0.973063, 0.000488065, 2.37059, 0.000501576
12, 0.973045, 0.000488229, 2.45758, 0.000501754
13, 0.973019, 0.000487194, 2.5376, 0.000500703
14, 0.973275, 0.0004755, 2.61197, 0.000488557
15, 0.975472, 0.000415139, 2.68322, 0.000425577

1.72222
1, 0.945684, 0.000657806, -0.0558464, 0.000695587
2, 0.938087, 0.000813022, 0.629235, 0.000866681
3, 0.936787, 0.000862795, 1.03331, 0.000921015
4, 0.936602, 0.000873398, 1.3208, 0.000932518
5, 0.936638, 0.000874115, 1.54398, 0.000933247
6, 0.936628, 0.000876372, 1.72629, 0.000935667
7, 0.936553, 0.000878928, 1.88036, 0.000938471
8, 0.936494, 0.000882481, 2.01383, 0.000942325
9, 0.936553, 0.000878928, 2.13168, 0.000938471
10, 0.936628, 0.000876372, 2.23712, 0.000935667
11, 0.936638, 0.000874115, 2.33244, 0.000933247
12, 0.936602, 0.000873398, 2.41941, 0.000932518
13, 0.936787, 0.000862795, 2.49965, 0.000921015
14, 0.938087, 0.000813022, 2.57515, 0.000866681
15, 0.945684, 0.000657806, 2.6522, 0.000695587

1.94444
1, 0.890764, 0.000981206, -0.115676, 0.00110153
2, 0.868014, 0.00132304, 0.5516, 0.00152422
3, 0.86172, 0.00149048, 0.949788, 0.00172965
4, 0.859911, 0.00156485, 1.23537, 0.00181979
5, 0.8594, 0.00159482, 1.45792, 0.00185574
6, 0.859353, 0.00160411, 1.64018, 0.00186664
7, 0.859269, 0.0016085, 1.79424, 0.00187194
8, 0.859233, 0.00162295, 1.92773, 0.00188884
9, 0.859269, 0.0016085, 2.04555, 0.00187194
10, 0.859353, 0.00160411, 2.15101, 0.00186664
11, 0.8594, 0.00159482, 2.24637, 0.00185574
12, 0.859911, 0.00156485, 2.33398, 0.00181979
13, 0.86172, 0.00149048, 2.41612, 0.00172965
14, 0.868014, 0.00132304, 2.49751, 0.00152422
15, 0.890764, 0.000981206, 2.59237, 0.00110153

2.16667
1, 0.78807, 0.00154956, -0.238168, 0.00196627
2, 0.722591, 0.00236473, 0.368235, 0.00327257
3, 0.694886, 0.00289702, 0.734605, 0.00416905
4, 0.681414, 0.00327339, 1.00271, 0.00480381
5, 0.673106, 0.00355862, 1.21359, 0.00528687
6, 0.667781, 0.00376802, 1.38796, 0.0056426
7, 0.665106, 0.00390924, 1.5381, 0.00587762
8, 0.664331, 0.00397428, 1.67047, 0.00598237
9, 0.665106, 0.00390924, 1.78942, 0.00587762
10, 0.667781, 0.00376802, 1.89879, 0.0056426
11, 0.673106, 0.00355862, 2.00204, 0.00528687
12, 0.681414, 0.00327339, 2.10132, 0.00480381
13, 0.694886, 0.00289702, 2.20094, 0.00416905
14, 0.722591, 0.00236473, 2.31414, 0.00327257
15, 0.78807, 0.00154956, 2.46988, 0.00196627

2.38889
1, 0.633248, 0.00180219, -0.456892, 0.00284595
2, 0.486198, 0.00283058, -0.0279913, 0.00582185
3, 0.409778, 0.00357863, 0.206473, 0.00873309
4, 0.363972, 0.00416727, 0.375616, 0.0114494
5, 0.335369, 0.00465514, 0.516913, 0.0138807
6, 0.31778, 0.00502394, 0.645363, 0.0158095
7, 0.307652, 0.00528999, 0.767123, 0.0171947
8, 0.304553, 0.0054164, 0.890532, 0.0177847
9, 0.307652, 0.00528999, 1.01844, 0.0171947
10, 0.31778, 0.00502394, 1.15619, 0.0158095
11, 0.335369, 0.00465514, 1.30537, 0.0138807
12, 0.363972, 0.00416727, 1.47423, 0.0114494
13, 0.409778, 0.00357863, 1.67281, 0.00873309
14, 0.486198, 0.00283058, 1.91792, 0.00582185
15, 0.633248, 0.00180219, 2.25116, 0.00284595

2.61111
1, 0.510683, 0.00153473, -0.672007, 0.00300524
2, 0.311428, 0.00220333, -0.47344, 0.00707492
3, 0.209673, 0.00260684, -0.463592, 0.0124328
4, 0.151136, 0.00290847, -0.503281, 0.0192441
5, 0.115536, 0.00318001, -0.548736, 0.027524
6, 0.0932406, 0.00346554, -0.580812, 0.0371677
7, 0.0814078, 0.00375238, -0.562374, 0.0460936
8, 0.0774938, 0.00395228, -0.478116, 0.0510013
9, 0.0814078, 0.00375238, -0.311059, 0.0460936
10, 0.0932406, 0.00346554, -0.0699867, 0.0371677
11, 0.115536, 0.00318001, 0.239722, 0.027524
12, 0.151136, 0.00290847, 0.595331, 0.0192441
13, 0.209673, 0.00260684, 1.00275, 0.0124328
14, 0.311428, 0.00220333, 1.47247, 0.00707492
15, 0.510683, 0.00153473, 2.03604, 0.00300524

2.83333
1, 0.44828, 0.00139514, -0.802338, 0.00311221
2, 0.235886, 0.0018706, -0.75126, 0.00793011
3, 0.135661, 0.00208049, -0.898984, 0.015336
4, 0.0837516, 0.00222378, -1.09361, 0.0265521
5, 0.0545672, 0.00236227, -1.29888, 0.0432911
6, 0.0385531, 0.00254798, -1.46396, 0.0660902
7, 0.0316031, 0.00284359, -1.50859, 0.0899781
8, 0.0296047, 0.00311948, -1.44038, 0.105371
