-3.9217, 0
-3.39881, 0.0021472
-2.87591, 0.00858878
-2.35302, 0.0379338
-1.83013, 0.0906594
-1.30723, 0.17774
-0.78434, 0.266252
-0.261447, 0.333292
0.261447, 0.334247
0.78434, 0.255993
1.30723, 0.174877
1.83013, 0.0904208
2.35302, 0.0367409
2.87591, 0.0114517
3.39881, 0.00286293
3.9217, 0.00143146

-3.86561, 0.000968156
-3.35019, 0.00629302
-2.83478, 0.0142803
-2.31937, 0.0440511
-1.80395, 0.101898
-1.28854, 0.171122
-0.773122, 0.273988
-0.257707, 0.312715
0.257707, 0.315135
0.773122, 0.266485
1.28854, 0.181045
1.80395, 0.0985099
2.31937, 0.0425989
2.83478, 0.0135542
3.35019, 0.0055669
3.86561, 0.00290447

0.134589, 0.0977882
0.403766, 0.289194
0.672943, 0.409691
0.94212, 0.500064
1.2113, 0.494503
1.48047, 0.479209
1.74965, 0.397641
2.01883, 0.319318
2.28801, 0.218286
2.55718, 0.148768
2.82636, 0.0801771
3.09554, 0.0556142
3.36471, 0.0282705
3.63389, 0.0148304
3.90307, 0.00741522
4.17225, 0.00370761

